SpaceObjects: "Sun_EarthSize,Telescope2,Earth3,Sun2";
Probe: "Telescope2";
numOfSamples: "20";
deltaD: "500";
ts: "500";
Iterations: "500";
dataSamples: "2000";
Range: "{-800000.0,300000.0,-350000.0,350000.0}";
Probe Pos: "(500.0, 0.0, 7300.0)";
Simulation Class: "precreatedScenarios.ChaoticSystemSimulation";
----------
(-788043.4782608695, -342045.45454545453, 0.0),(1.916546377063502E-6, -5.177452815062501E-7, 2.518674220686938E-5)
(-788043.4782608695, -326136.36363636365, 0.0),(2.102195174220725E-6, -5.126858961722761E-7, 2.527100072717074E-5)
(-788043.4782608695, -310227.27272727276, 0.0),(2.317429384499316E-6, -4.911132297926736E-7, 2.5353925878701232E-5)
(-788043.4782608695, -294318.1818181819, 0.0),(2.569779504075607E-6, -4.4447385693462766E-7, 2.543562625090128E-5)
(-788043.4782608695, -278409.090909091, 0.0),(2.882931562490515E-6, -4.5580907424739607E-7, 2.55151622758075E-5)
(-788043.4782608695, -262500.0000000001, 0.0),(3.290077532850517E-6, -4.555805506724386E-7, 2.559173438835792E-5)
(-788043.4782608695, -246590.9090909092, 0.0),(3.7994256371903513E-6, -4.3320068163905335E-7, 2.5664756503804906E-5)
(-788043.4782608695, -230681.8181818183, 0.0),(4.455351237199136E-6, -3.71273221036308E-7, 2.5733428242526898E-5)
(-788043.4782608695, -214772.72727272738, 0.0),(5.3334928074710805E-6, -2.428347460763419E-7, 2.579661390206422E-5)
(-788043.4782608695, -198863.63636363647, 0.0),(6.572398338826683E-6, -9.292997039253522E-9, 2.5852632636035425E-5)
(-788043.4782608695, -182954.54545454556, 0.0),(8.584374839109272E-6, 3.802532401839849E-7, 2.5898863835833368E-5)
(-788043.4782608695, -167045.45454545465, 0.0),(1.2109887411341654E-5, 9.98819262411095E-7, 2.5930877430278002E-5)
(-788043.4782608695, -151136.36363636373, 0.0),(1.9484962884969795E-5, 2.0299520151312424E-6, 2.5939947552511173E-5)
(-788043.4782608695, -135227.27272727282, 0.0),(4.1827777399488375E-5, 4.3585374480217494E-6, 2.590245270582677E-5)
(-788043.4782608695, -119318.18181818191, 0.0),(1.9025520757516784E-4, 4.374260082944256E-5, 2.571167547179405E-5)
(-788043.4782608695, -103409.090909091, 0.0),(0.004593618051263709, 0.003595024072254492, 3.874305812643738E-5)
(-788043.4782608695, -87500.00000000009, 0.0),(1.8512675678703847E-4, 4.162184521494856E-5, 2.5803813366838942E-5)
(-788043.4782608695, -71590.90909090918, 0.0),(7.149352810898254E-5, 1.5300575325713962E-5, 2.6019260715340832E-5)
(-788043.4782608695, -55681.818181818264, 0.0),(7.08470047888394E-5, 1.892370819383522E-5, 2.602686735377503E-5)
(-788043.4782608695, -39772.72727272735, 0.0),(1.4134650633483564E-4, 5.9682657166890725E-5, 2.5947591378669095E-5)
(-788043.4782608695, -23863.63636363644, 0.0),(0.001446531422172703, 0.0010189545762502355, 2.5244583289975318E-5)
(-788043.4782608695, -7954.54545454553, 0.0),(0.0011653285671963845, 7.422021807372908E-4, 2.5585561755587217E-5)
(-788043.4782608695, 7954.5454545453795, 0.0),(2.2897386564771894E-4, 1.070932498996975E-4, 2.5734882556797146E-5)
(-788043.4782608695, 23863.636363636288, 0.0),(5.099131482148529E-5, 2.589247932199822E-5, 2.588595707323787E-5)
(-788043.4782608695, 39772.7272727272, 0.0),(2.8097155335146373E-5, 7.332790926450354E-6, 2.591077479341738E-5)
(-788043.4782608695, 55681.81818181811, 0.0),(1.5397640132569915E-5, -6.587643090262553E-7, 2.5947270369994494E-5)
(-788043.4782608695, 71590.90909090902, 0.0),(9.765223338451713E-6, -6.63482356516504E-7, 2.5945020647961358E-5)
(-788043.4782608695, 87499.99999999993, 0.0),(7.131198029740058E-6, -5.439971983329772E-7, 2.592217839920126E-5)
(-788043.4782608695, 103409.09090909084, 0.0),(5.562085540336289E-6, -4.771153373436317E-7, 2.5886817001259813E-5)
(-788043.4782608695, 119318.18181818175, 0.0),(4.494264252067009E-6, -4.1302996442059274E-7, 2.584259514572608E-5)
(-788043.4782608695, 135227.27272727265, 0.0),(3.7298201215641306E-6, -3.6081438565752016E-7, 2.579163036546816E-5)
(-788043.4782608695, 151136.36363636356, 0.0),(3.164825682058837E-6, -3.221061154757652E-7, 2.5735291082518972E-5)
(-788043.4782608695, 167045.45454545447, 0.0),(2.7346628026332492E-6, -2.931693628287683E-7, 2.5674516459594876E-5)
(-788043.4782608695, 182954.54545454538, 0.0),(2.4329392354678923E-6, -3.332982783789784E-7, 2.560998324631236E-5)
(-788043.4782608695, 198863.6363636363, 0.0),(2.1903170474401168E-6, -3.7130819632917275E-7, 2.5542199701043297E-5)
(-788043.4782608695, 214772.7272727272, 0.0),(1.9895234103739894E-6, -3.9333280685149565E-7, 2.5471561050336436E-5)
(-788043.4782608695, 230681.81818181812, 0.0),(1.8199919259459562E-6, -4.0414575084295545E-7, 2.539838394855208E-5)
(-788043.4782608695, 246590.90909090903, 0.0),(1.6745443016349928E-6, -4.0719289471153324E-7, 2.5322928920309596E-5)
(-788043.4782608695, 262499.99999999994, 0.0),(1.5481447313723472E-6, -4.0495382603338204E-7, 2.5245415520363542E-5)
(-788043.4782608695, 278409.0909090908, 0.0),(1.437142550247424E-6, -3.991889249522169E-7, 2.5166032840347974E-5)
(-788043.4782608695, 294318.1818181817, 0.0),(1.338808599808086E-6, -3.9112921120135475E-7, 2.508494691941989E-5)
(-788043.4782608695, 310227.2727272726, 0.0),(1.2510469058946152E-6, -3.816237517488795E-7, 2.5002306036102536E-5)
