SpaceObjects: "Sun_EarthSize,Telescope2,Earth3,Sun2";
Probe: "Telescope2";
numOfSamples: "20";
deltaD: "500";
ts: "500";
Iterations: "100";
dataSamples: "25000";
Range: "{-100000.0,100000.0,-100000.0,100000.0}";
Probe Pos: "(25000.0, 0.0, 0.0)";
Probe Velocity: "(2.0, 0.0, 2.0)";
----------
(-99371.06918238994, -99367.08860759494, 0.0),(2.4296573571603688E-4, 1.3294085560079037E-4, 0.0)
(-99371.06918238994, -98101.26582278482, 0.0),(1.904675903462451E-4, 1.1030700492458689E-4, 0.0)
(-99371.06918238994, -96835.44303797469, 0.0),(1.565906153630507E-4, 1.0751231983178551E-4, 0.0)
(-99371.06918238994, -95569.62025316457, 0.0),(1.4858344115679492E-4, 1.2813423839994954E-4, 0.0)
(-99371.06918238994, -94303.79746835445, 0.0),(1.4766025237974786E-4, 1.3563729269457295E-4, 0.0)
(-99371.06918238994, -93037.97468354432, 0.0),(1.4121386324077818E-4, 1.3415495353706885E-4, 0.0)
(-99371.06918238994, -91772.1518987342, 0.0),(1.3264885457570265E-4, 1.239456790009027E-4, 0.0)
(-99371.06918238994, -90506.32911392408, 0.0),(1.252737903896081E-4, 1.2154867977116531E-4, 0.0)
(-99371.06918238994, -89240.50632911395, 0.0),(1.2242409806441105E-4, 1.2153508017166546E-4, 0.0)
(-99371.06918238994, -87974.68354430383, 0.0),(1.2161379218317916E-4, 1.213403789884998E-4, 0.0)
(-99371.06918238994, -86708.8607594937, 0.0),(1.212844578945598E-4, 1.2102171776218583E-4, 0.0)
(-99371.06918238994, -85443.03797468358, 0.0),(1.209804502407092E-4, 1.207096226278435E-4, 0.0)
(-99371.06918238994, -84177.21518987346, 0.0),(1.206714970730486E-4, 1.2041364187233634E-4, 0.0)
(-99371.06918238994, -82911.39240506334, 0.0),(1.2038262555094564E-4, 1.2014309376487132E-4, 0.0)
(-99371.06918238994, -81645.56962025321, 0.0),(1.2012199702004862E-4, 1.1990206086132888E-4, 0.0)
(-99371.06918238994, -80379.74683544309, 0.0),(1.1989170995159694E-4, 1.1969146602054616E-4, 0.0)
(-99371.06918238994, -79113.92405063297, 0.0),(1.1969202763080566E-4, 1.1951112073950574E-4, 0.0)
(-99371.06918238994, -77848.10126582284, 0.0),(1.1952253795033003E-4, 1.1935936874467869E-4, 0.0)
(-99371.06918238994, -76582.27848101272, 0.0),(1.1938476587246466E-4, 1.1923507965168101E-4, 0.0)
(-99371.06918238994, -75316.4556962026, 0.0),(1.1927622478317393E-4, 1.1913919728397708E-4, 0.0)
(-99371.06918238994, -74050.63291139247, 0.0),(1.1919738612695978E-4, 1.1906893069882016E-4, 0.0)
(-99371.06918238994, -72784.81012658235, 0.0),(1.1914853980859392E-4, 1.190259818329136E-4, 0.0)
(-99371.06918238994, -71518.98734177223, 0.0),(1.1913069018029338E-4, 1.1900873568393015E-4, 0.0)
(-99371.06918238994, -70253.1645569621, 0.0),(1.191442495616727E-4, 1.1902017895568474E-4, 0.0)
(-99371.06918238994, -68987.34177215198, 0.0),(1.1919278255957329E-4, 1.1905913479799915E-4, 0.0)
(-99371.06918238994, -67721.51898734186, 0.0),(1.1927943735263174E-4, 1.1913155085454618E-4, 0.0)
(-99371.06918238994, -66455.69620253173, 0.0),(1.1940926781416666E-4, 1.1923976518601006E-4, 0.0)
(-99371.06918238994, -65189.87341772161, 0.0),(1.1959279401795791E-4, 1.1939312802384336E-4, 0.0)
(-99371.06918238994, -63924.05063291149, 0.0),(1.1981776241024581E-4, 1.1959808906701108E-4, 0.0)
(-99371.06918238994, -62658.22784810136, 0.0),(1.1986400499560814E-4, 1.1890298357947102E-4, 0.0)
(-99371.06918238994, -61392.40506329124, 0.0),(1.1840397449507225E-4, 1.1684724783796494E-4, 0.0)
(-99371.06918238994, -60126.58227848112, 0.0),(1.1948115099958954E-4, 1.1227888315919222E-4, 0.0)
(-99371.06918238994, -58860.759493670994, 0.0),(1.2412513751046286E-4, 1.0395970344877537E-4, 0.0)
(-99371.06918238994, -57594.93670886087, 0.0),(1.4250753348046106E-4, 1.2090011181418282E-4, 0.0)
(-99371.06918238994, -56329.11392405075, 0.0),(2.0065281570006834E-4, 1.1290036874844937E-4, 0.0)
(-99371.06918238994, -55063.291139240624, 0.0),(2.0627502390404903E-4, 1.2593340830459478E-4, 0.0)
(-99371.06918238994, -53797.4683544305, 0.0),(1.73420599223919E-4, 1.1870794065780554E-4, 0.0)
(-99371.06918238994, -52531.64556962038, 0.0),(1.4978308004593983E-4, 1.1481482951404925E-4, 0.0)
(-99371.06918238994, -51265.822784810254, 0.0),(1.3812122198736024E-4, 1.1968378688143558E-4, 0.0)
(-99371.06918238994, -50000.00000000013, 0.0),(1.2804794837155403E-4, 1.207382756666654E-4, 0.0)
(-99371.06918238994, -48734.17721519001, 0.0),(1.2386689092790842E-4, 1.232145861390236E-4, 0.0)
(-99371.06918238994, -47468.354430379884, 0.0),(1.2475254623587015E-4, 1.2406556742500954E-4, 0.0)
(-99371.06918238994, -46202.53164556976, 0.0),(1.2535576898975881E-4, 1.2490646864616654E-4, 0.0)
(-99371.06918238994, -44936.70886075964, 0.0),(1.2564296743989995E-4, 1.2539783888970365E-4, 0.0)
(-99371.06918238994, -43670.886075949515, 0.0),(1.2569835073494986E-4, 1.2543130172570864E-4, 0.0)
(-99371.06918238994, -42405.06329113939, 0.0),(1.255641699193526E-4, 1.2519525991754545E-4, 0.0)
(-99371.06918238994, -41139.24050632927, 0.0),(1.2527870837333304E-4, 1.2484892519851157E-4, 0.0)
